osm_id,code,fclass,name,lat,Long
"7162138091","2503",kiosk,Premier Loto,3.8763768,11.4706643
"7162138092","2503",kiosk,Rois Bet,3.8764156,11.4707161
"7162138458","2503",kiosk,Vente De Médicaments,3.8742764,11.4127071
"7162138636","2014",arts_centre,Salle Des Fêtes De Ngousso La Citadelle,3.8983117,11.5499900
"7162138641","2401",hotel,Hôtel La Fleur,3.8723612,11.4807015
"7162138646","2401",hotel,Hôtel Bome,3.8547423,11.4508049
"7162139038","2120",doctors,,3.8644971,11.5278700
"7162147728","2120",doctors,,3.8632183,11.5263011
"7162149619","2014",arts_centre,Complexe Islamique Du Repentir,3.8744576,11.5498505
"7162149837","2401",hotel,Belvic,3.8931401,11.4553660
"7162150183","2120",doctors,,3.8767546,11.5611818
"7162157735","2401",hotel,Petit Coin De Plaisir,3.8751724,11.4751661
"7162157811","2401",hotel,Cmr Intr'l Hotel,3.8701046,11.4497200
"7162158285","2120",doctors,,3.8721063,11.5360549
"7162159777","2084",college,Ndum La Siporah,3.8598113,11.5216079
"7162162760","2401",hotel,Elle Cabana,3.8842994,11.4535082
"7162162922","2084",college,Centre D'éducation Populaire Et D'animation Pour Le Développement,3.8638626,11.5323649
"7162166898","2515",bookshop,,3.8729667,11.4794348
"7162167979","2084",college,Indexnovasarl,3.8623409,11.5253224
"7162172569","2303",cafe,,3.8616045,11.5237686
"7162172570","2303",cafe,,3.8636529,11.5268067
"7162172571","2303",cafe,,3.8624505,11.5246256
"7162172572","2303",cafe,,3.8629442,11.5258076
"7162176461","2084",college,Dag-iist Sarl,3.8739568,11.5451094
"7162176576","2511",convenience,,3.8737173,11.4344723
"7162176577","2511",convenience,,3.8734238,11.4354620
"7162176578","2511",convenience,,3.8735300,11.4356142
"7162176579","2511",convenience,,3.8731620,11.4359032
"7162179367","2084",college,Ecolia Labs,3.8773300,11.5496658
"7162179860","2084",college,Institut De Formation Professionnelle Matt Fashion,3.8631929,11.5262675
"7162181009","2084",college,Institut Tyranus,3.8681202,11.5319649
"7162181424","2084",college,Rosy Center,3.8756956,11.5402452
"7162186310","2084",college,Yes Cameroon,3.8721187,11.5360204
"7162186512","2084",college,Istg-ac Maaron,3.8708900,11.5314496
"7162186766","2084",college,Pro Mill Cameroun,3.8750915,11.5439171
"7162186767","2515",bookshop,,3.8800549,11.4793046
"7162189395","2084",college,Groupe Cefor Hôtellerie,3.8632819,11.5271687
"7162190736","2084",college,Esther'a,3.8731955,11.5340942
"7162190908","2084",college,Startup Academy,3.8683437,11.5275604
"7162191488","2084",college,Expertise & Conseils En Assurance (exca),3.8667688,11.5299878
"7162191502","2084",college,Dialog,3.8728349,11.5405469
"7162195527","2084",college,Telec Formation,3.8759846,11.5452911
"7162199777","2515",bookshop,,3.8885096,11.4552600
"7162200804","2511",convenience,,3.8751256,11.4227482
"7162200805","2511",convenience,,3.8729217,11.4221320
"7162200806","2511",convenience,,3.8752421,11.4229387
"7162200807","2511",convenience,,3.8733167,11.4233347
"7162200808","2511",convenience,,3.8743575,11.4248539
"7162200809","2511",convenience,,3.8730525,11.4223931
"7162200810","2511",convenience,,3.8732555,11.4229282
"7162200811","2511",convenience,,3.8741335,11.4253197
"7162200812","2511",convenience,,3.8741348,11.4253501
"7162200813","2511",convenience,,3.8743463,11.4248773
"7162200814","2511",convenience,,3.8741440,11.4252298
"7162200815","2511",convenience,,3.8741440,11.4254621
