"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","2012","Kilowatts,  thousand","1052.2",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","2011","Kilowatts,  thousand","999.5",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","2010","Kilowatts,  thousand","1008.1",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","2009","Kilowatts,  thousand","1023",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","2008","Kilowatts,  thousand","936.9",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","2007","Kilowatts,  thousand","921.5",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","2006","Kilowatts,  thousand","789",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","2005","Kilowatts,  thousand","789",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","2004","Kilowatts,  thousand","875","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","2003","Kilowatts,  thousand","875",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","2002","Kilowatts,  thousand","875",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","2001","Kilowatts,  thousand","870",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","2000","Kilowatts,  thousand","794",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","1999","Kilowatts,  thousand","792",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","1998","Kilowatts,  thousand","792",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","1997","Kilowatts,  thousand","803","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","1996","Kilowatts,  thousand","603","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","1995","Kilowatts,  thousand","603","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","1994","Kilowatts,  thousand","603","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","1993","Kilowatts,  thousand","603","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","1992","Kilowatts,  thousand","603","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","1991","Kilowatts,  thousand","603","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","1990","Kilowatts,  thousand","603","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, autoproducer","2019","Kilowatts,  thousand","650","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, autoproducer","2018","Kilowatts,  thousand","650","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, autoproducer","2017","Kilowatts,  thousand","650","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, autoproducer","2016","Kilowatts,  thousand","650","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, autoproducer","2015","Kilowatts,  thousand","650","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, autoproducer","2014","Kilowatts,  thousand","592","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, autoproducer","2013","Kilowatts,  thousand","400","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, autoproducer","2012","Kilowatts,  thousand","300","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, autoproducer","2011","Kilowatts,  thousand","300","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, autoproducer","2010","Kilowatts,  thousand","300","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, autoproducer","2009","Kilowatts,  thousand","300","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, autoproducer","2008","Kilowatts,  thousand","300","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, autoproducer","2007","Kilowatts,  thousand","300","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, autoproducer","2006","Kilowatts,  thousand","250","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, autoproducer","2005","Kilowatts,  thousand","230","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, autoproducer","2004","Kilowatts,  thousand","205",""
"Cameroon","Electricity - total net installed capacity of electric power plants, autoproducer","2003","Kilowatts,  thousand","200",""
"Cameroon","Electricity - total net installed capacity of electric power plants, autoproducer","2002","Kilowatts,  thousand","190",""
"Cameroon","Electricity - total net installed capacity of electric power plants, autoproducer","1999","Kilowatts,  thousand","25","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, autoproducer","1998","Kilowatts,  thousand","25","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, autoproducer","1997","Kilowatts,  thousand","24","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, autoproducer","1996","Kilowatts,  thousand","24","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, autoproducer","1995","Kilowatts,  thousand","24","1"
